Ordem de prod,Ref. do Artigo,Data de prod,Temperatura (F°),Peso médio (g),Comprimento médio (mm),Diâmetro,Área da gota (mm),Gotas cortadas (toneladas),Total de Frascos no Dia (unidade),Total de Defeitos no Dia,Onda no fundo,Terminação deformada,Racho no anel,Sujo de óleo,Cascão,Frasco caído na esteira,Dupla costura,Frio,Lascado em produção,Dobra,Trinca por choque térmico,Racho na costura,Racho na terminação,Cava no ombro,Ombro mal cheio,Ombro deformado,Martelado,Aderido
193533,C1165.0000R,2024-04-13,2140.5999999999985,196.9,100.1,39.1,3913.91,24.93,126720,179,0,1,1,84,0,0,0,0,1,7,0,0,3,0,0,0,0,0
193533,C1165.0000R,2024-04-14,2140.8499999999976,197.0,101.9,39.0,3974.1000000000004,24.984,126720,192,1,1,0,90,0,0,0,0,2,5,0,0,11,0,0,0,0,0
193533,C1165.0000R,2024-04-15,2140.049999999998,196.4,99.3,39.4,3912.4199999999996,24.963,126720,184,0,0,0,94,0,0,0,0,1,0,0,0,14,0,0,0,0,0
193533,C1165.0000R,2024-04-16,2140.249999999998,197.1,98.4,39.7,3906.4800000000005,24.959,126718,169,0,3,1,75,0,0,0,0,0,6,0,0,13,0,0,0,0,0
193533,C1165.0000R,2024-04-17,2124.599999999999,197.1,99.5,39.8,3960.1,24.943,126722,175,0,0,1,78,0,0,1,0,0,9,1,0,14,0,0,0,0,0
193533,C1165.0000R,2024-04-18,2106.659999999999,196.7,88.7,40.1,3556.8700000000003,3.047,15414,200,0,0,0,34,0,0,0,0,0,1,0,0,2,0,0,0,0,0
193535,C1332.0000V,2024-04-24,2148.299999999999,116.4,83.4,31.2,2602.08,19.33,164638,249,0,1,0,31,0,0,0,1,5,1,0,0,0,3,0,0,0,6
193535,C1332.0000V,2024-04-25,2155.369999999999,116.3,83.4,34.5,2877.3,20.743,178410,244,0,0,0,71,1,0,0,0,11,9,5,0,0,0,0,0,0,2
193535,C1332.0000V,2024-04-26,2160.2599999999998,116.6,85.2,35.1,2990.5200000000004,7.94,68196,195,0,0,0,48,0,0,0,3,10,7,6,0,0,0,0,0,0,0
193537,C1203.0000R,2024-04-02,2191.0999999999995,173.6,82.1,39.8,3267.5799999999995,25.13,145034,317,0,0,5,61,0,0,0,0,0,28,1,0,41,0,0,0,0,0
193537,C1203.0000R,2024-04-03,2179.729999999999,174.0,81.4,39.7,3231.5800000000004,24.459,140976,288,0,1,4,70,0,0,0,0,1,6,1,0,28,0,0,0,0,0
193537,C1203.0000R,2024-04-04,2137.64,174.1,79.6,39.1,3112.3599999999997,1.199,6852,113,0,0,3,26,0,0,0,0,0,1,0,0,3,0,0,0,0,0
193594,C1137.0000R,2024-03-25,2162.7599999999984,171.4,87.6,37.6,3293.7599999999998,17.406,101792,192,0,0,0,29,0,0,0,0,1,0,7,0,4,0,0,0,0,0
193594,C1137.0000R,2024-03-26,2151.1699999999987,171.8,88.9,39.7,3529.3300000000004,19.785,115200,212,0,0,0,76,0,0,0,0,0,8,1,0,16,0,0,0,0,1
193594,C1137.0000R,2024-03-27,2145.199999999999,171.9,91.1,39.1,3562.0099999999998,19.792,115202,188,0,0,0,73,0,0,0,0,0,1,8,0,10,0,0,0,0,0
